Partner Type,Local District,Organization/ Agency,Contact Link,Address,Full Address,City,Zip code,Phone number,Description,id,lon,lat
Food Resources,NW,Sova Kosher Food Pantry / Metro,https://www.jfsla.org/SOVA,16439 Vanowen St.,"16439 Vanowen St., Van Nuys, 91401",Van Nuys,91401,(818) 988-7682,"Mon. - Thurs.: 10:00 am- 1:30 pm, Sat: 9:00 am - 12:00 pm. Bring ID and Birth certificates for children. Please check their website for zipcodes they serve and bring birth certificates for children. They will be closed this Wednesday, 4/8 and next Wednesday and Thursday, 4/15 and 4/16 in observance of Passover.",96,-118.491725,34.1942489
Food Resources,NW,Valley Park Church,https://valleyparkchurch.com/,16154 Nordhoff St.,"16154 Nordhoff St., North Hills, 91343",North Hills,91343,(818) 894-9316,"Food pantry is located at Lutheran Social Services at 7400 Tujunda Ave. North Hollywood, CA 91605. Hours and days are: Mon., Tues., & Fri.: 10:00 am. - 1:00 pm. No ID is required at this time.",97,-118.4845808,34.235259
Food Resources,NW,West Valley Food Pantry,https://www.westvalleyfoodpantry.org/,5700 Rudnick Ave.,"5700 Rudnick Ave., Woodland Hills, 91367",Woodland Hills,91367,(818) 346-5554,Mon. - Thurs.: 10:00 a.m. - 3:00 p.m.. Fri: 10:00 a.m. - 12:00 p.m.. Call before going.,98,-118.6120294,34.1741956
Food Resources,Various,Palmdale Community Foundation,https://foodoasis.la/food-pantry/palmdale-community-foundation-s-a-v-e-s-/,10002 East Ave Q12,"10002 East Ave Q12, Palmdale, 93550",Palmdale,93550,(661) 267-5191,"Food Pantry days and hours: Tues, Wed, & Thurs: 12:00 pm - 4:00 pm. Bring ID and 1 order per household, drive thru only. Must be Palmdale resident.",100,-118.0974734,34.5759991
Food Resources,Various,Holy Family Giving Bank,http://holyfamily.org/giving-bank/,1524 Fremont Ave.,"1524 Fremont Ave., South Pasadena, 91030",South Pasadena,91030,(626) 403-6140,"Distribution every Wed. & Fri., by appointment only.",101,-118.1526294,34.1080834
Food Resources,Various,NOLP / Pasadena JWCH (Wesley Health Center),https://aplahealth.org/services/nolp-food-pantries-nutrition/,1845 North Fair Oaks Ave,"1845 North Fair Oaks Ave, Pasadena, 91103",Pasadena,91103,(213) 201-1600,Fri: 9:00 a.m. - 2:00 p.m.. Must be HIV+ and enrolled in the program.,102,-118.1509283,34.1775883
Food Resources,Various,Salvation Army - Pasadena,https://pasadena.salvationarmy.org/pasadena_tabernacle_corps/,"1000 East Walnut Street, Suite 102","1000 East Walnut Street, Suite 102, Pasadena, 91106",Pasadena,91106,(626) 773-4404,Mon-Fri: 9:00 a.m. - 11:30 a.m.. Must provide ID and proof of address. Drive-thru pickup.,103,-118.1298691,34.1494491
Food Resources,Various,Inland Valley Hope Partners - Pomona,http://www.inlandvalleyhopepartners.org/,"209 West Pearl Street, Ste 103","209 West Pearl Street, Ste 103, Pomona, 91768",Pomona,91768,(909) 622-3806,"Mon-Thurs: 9:00 a.m. - 2:30 p.m.. Must provide photo ID for every household member, proof of income, and proof of address.",104,-117.752387,34.0649259
Food Resources,S,Aaron Community Cultural Center,https://www.acccbsm.com/,1010 B. W. 108th St.,"1010 B. W. 108th St., Los Angeles, 90044",Los Angeles,90044,(800) 527-4184,Food pantry day and hours: Tuesday: 10:00 am - 11:00 am. Register online or call ahead. Same day walk up is also available. No ID required.,105,-118.2925158,33.93791240000001
Food Resources,S,All Peoples Community Center,N/A,822 East 20th Street,"822 East 20th Street, Los Angeles, 90011",Los Angeles,90011,(213) 747-6357,Fri: 9:30 a.m. - 1:00 p.m.. Must be a resident. Must provide picture ID and proof of income.,106,-118.256591,34.0257438
Food Resources,S,Asian Community Center,https://wdacs.lacounty.gov/center/asian/,14112 South Kingsley Drive,"14112 South Kingsley Drive, Gardena, 90249",Gardena,90249,(310) 217-7300,"We are providing food by appointments only on Thursdays and Fridays from 9:00 a.m. – 4:00 p.m.. This is a once a month program per household. CalFresh Program – Monday thru Friday 9:00 a.m. – 4:00 p.m.. Please call in advance. As of 4/7/20, they said they have plenty of food and they do not have a catchment area.",107,-118.3039273,33.90292850000001
Food Resources,S,Bethel Unspeakable Joy Christian Church,N/A,8724 South Central Ave,"8724 South Central Ave, Los Angeles, 90002",Los Angeles,90002,(323) 585-5939,"Every 2nd and 4th Saturday of the month, 8:00 a.m. - 10:00 p.m.",108,-118.2560885,33.958547
Food Resources,S,Communities Child,https://www.communityschild.org/,25520 Woodward Ave,"25520 Woodward Ave, Lomita, 90717",Lomita,90717,(310) 534-4040,By phone appt.,109,-118.3183186,33.7918105
Food Resources,S,"Crystal Stairs, Inc.",https://www.crystalstairs.org/,5110 W. Goldleaf Circle,"5110 W. Goldleaf Circle, Los Angeles, 90056",Los Angeles,90056,(323) 421-1652,South LA and Compton local community resources.,110,-118.3670554,33.989544
Food Resources,S,E.E.D.C.C. Keeping Konnected Inc.,N/A,2400 W. Martin Luther King Jr. Blvd.,"2400 W. Martin Luther King Jr. Blvd., Los Angeles, 90008",Los Angeles,90008,(323) 880-6650,Food pantry day and hours: Every 3rd Saturday of the month: 10:00 am - until supplies run out. No ID required at this time.,111,-118.3194602,34.0105947
Food Resources,S,First New Christian Missionary Baptist Church,https://www.1stnewchristian.org/,1555 W. 108th St.,"1555 W. 108th St., Los Angeles, 90047",Los Angeles,90047,(323) 756-2541,Food pantry day and hours: Thursday: 9:00 am - 11:00 am. Distribution of non-perishable items for residents of Athens and Westmont. ID is required.,112,-118.3044586,33.9385195
Food Resources,S,First United Methodist Church,N/A,1025 S. Long Beach Blvd.,"1025 S. Long Beach Blvd., Compton, 90221",Compton,90221,(310) 639-0775,"Food pantry day and hours: 2nd and 4th Wednesday of the month: 10:00 am - 12:00 pm. Service limited to Carson, Compton, Gardena, Long Beach residents, and homeless individuals and families. Please bring own bags.",113,-118.2068364,33.8870979
Food Resources,S,Florence Firestone Community Center,https://wdacs.lacounty.gov/center/florence-firestone/,7807 S. Compton Ave,"7807 S. Compton Ave, Compton, 90001",Compton,90001,(310) 586-6502,"Food pantry days and hours: Tues, Wed, & Fri from 10:00 am - 4:00 pm. By appointment only.",114,-118.2480026,33.9678115
Food Resources,S,Hawaiian Gardens Food Bank,http://hawaiiangardensfoodbank.com/,22121 Norwalk Ave,"22121 Norwalk Ave, Hawaiian Gardens, 90716",Hawaiian Gardens,90716,(562) 860-9097,Food pantry day and hours: Wednesday: 2:00 pm - 6:00 pm and Thursday: 9:30 am - 3:30 pm.,115,-118.0721441,33.8270963
Food Resources,s,His Helping Hands,https://www.lomitachurch.org/,25001 Oak St.,"25001 Oak St., Lomita, 90717",Lomita,90717,(310) 326-2757,"Food pantry day and hours: Thursday: 6:00 pm - 7:00 pm. Service is for Lomita, San Pedro, Harbor City, Torrrance, and Wilmington residents only. ID is required.",116,-118.3174509,33.7980038
Food Resources,S,Holly Park UMC Outreach Ave,https://www.umc.org/en/find-a-church/church/?id=75170,13000 S. Van Ness Ave,"13000 S. Van Ness Ave, Gardena, 90249",Gardena,90249,(310) 516-6457,Food Pantry day and hours: every SECOND Thursday: 2:00 pm - 4:00 pm. No ID required.,117,-118.317788,33.9165022
Food Resources,S,Joy Community Outreach,https://www.joyinjesus.org/,1938 S. Western Ave,"1938 S. Western Ave, Los Angeles, 90018",Los Angeles,90018,(323) 939-5808,Food pantry days and hours: Every 2nd Tuesday of the month: 10:30 am- 2:30 pm or until food runs out.,118,-118.3085634,34.0386843
Food Resources,S,Mary Star of the Sea/Christian Care,https://marystar.org/christian-care,853 W 7TH St.,"853 W 7TH St., San Pedro, 90731",San Pedro,90731,(310) 548-1645,Service appears to be temporarily suspended at this time.,119,-118.2958168,33.7376813
Food Resources,S,New Direction Community Program,N/A,8200 South Western Avenue,"8200 South Western Avenue, Los Angeles, 90047",Los Angeles,90047,(323) 291-0035,"Every 2nd Saturday, 1:30 p.m., until supplies last.",120,-118.308742,33.964369
Food Resources,S,Normandie Community Church,N/A,3801 S. Normandie Ave.,"3801 S. Normandie Ave., Los Angeles, 90037",Los Angeles,90037,(323) 731-7787,Food pantry day and hours: Every 4th Saturday of the month: 10:45 am - until food runs out.,121,-118.3003941,34.017098
Food Resources,S,One Good Seed Inc,N/A,11121 S. Avalon Blvd.,"11121 S. Avalon Blvd., Los Angeles, 90061",Los Angeles,90061,(562) 450-7407,Food pantry day and hours: Every other Thursday: 2:00 pm - 5:00 pm.,122,-118.2654301,33.934164
Food Resources,S,Praise Chapel Florence Community Church,N/A,1750 E. Florence Ave,"1750 E. Florence Ave, Los Angeles, 90001",Los Angeles,90001,(626) 482-5728,Food pantry day and hours: Wednesdays: 9:00 am - 10:30 am. No ID required.,123,-118.2414468,33.9744711
Food Resources,S,Presentation of Mary Catholic,N/A,6406 Parmelee Avenue,"6406 Parmelee Avenue, Los Angeles, 90001",Los Angeles,90001,(323) 585-0570,Sat: 7:30 a.m. - 8:30 a.m.. Please call to verify distribution.,124,-118.2496015,33.9814737
Food Resources,S,RCCG Jesus Embassy Los Angeles,N/A,442 East El Segundo,"442 East El Segundo, Los Angeles, 90061",Los Angeles,90061,(818) 300-8640,NA,125,-118.2661382,33.9161346
Food Resources,S,Salvation Army- Stillman Sawyer Family Center,https://stillmansawyercenter.salvationarmy.org/stillman_sawyer_family_services_center/,820 Lomita Ave,"820 Lomita Ave, Harbor City, 90710",Harbor City,90710,(310) 835-1986,"Food pantry days and hours: Mon, Wed, & Fri: 9:00 am - 3:00 pm. No ID required. Tues & Thurs delivery to seniors and people with diabiilties. Must call intake for delivery service.",126,-118.2896156,33.7973708
Food Resources,S,SHIELDS for Families,https://www.shieldsforfamilies.org/community-family-services/,11601 S. Western,"11601 S. Western, Los Angeles, 90047",Los Angeles,90047,(310) 430-6420,"Resource Navigation, Case Management, Children Services, Substance Abuse, Mental Health Services, Visitation, Support Groups, Fatherhood Program, Domestic Violence, Educational & Vocational Services, Anger Management, Parenting Education, Housing, Food, Clothing, and Transportation.",127,-118.3102585,33.9284596
Food Resources,s,St. Margaret Mary's Christian Services,N/A,2511 Eshelman Ave,"2511 Eshelman Ave, Lomita, 90717",Lomita,90717,(310) 326-3364,"Food pantry day and hours: Wednesdays: 8:30 am - 10:00 am. Service is for homeless individuals and families, Lomita, Torrance, Wilmington, and Harbor City residents only. ID is required.",128,-118.3145332,33.7944935
Food Resources,S,St. Mark United Methodist Church,http://www.saintmarkla.com/,8305 S. Gramercy Pl.,"8305 S. Gramercy Pl., Los Angeles, 90047",Los Angeles,90047,(323) 753-3535,Food pantry day and hours: 1st and 3rd Wednesdays of the month: 10:00 am - 11:30 am. No ID required.,129,-118.3136076,33.9632286
Food Resources,S,Toberman Family Source Center,https://toberman.org/,131 N Grand Ave.,"131 N Grand Ave., San Pedro, 90731",San Pedro,90731,(310) 832-1145,Family Source Center. Food pantry operation has been temporarily suspended. Clients can call and make an intake appoitment. If the family qualifies for assistance they will have groceries delivered to their home.,130,-118.2903464,33.7438133
Food Resources,S,Wayside United Methodist Church,http://www.calpacumc.org/,25904 Cayuga Ave,"25904 Cayuga Ave, Lomita, 90717",Lomita,90717,(310) 326-4541,Food pantry days and hours: 2nd Saturday of the month from 9:00 am - 11:00 am . No ID required.,131,-118.3094301,33.7879755
Food Resources,Various,South Antelope Valley Emergency Services,https://www.cityofpalmdale.org/338/SAVES,1002 Avenue Q-12,"1002 Avenue Q-12, Palmdale, 93550",Palmdale,93550,(661) 267-5191,Mon-Thurs: 1:00 p.m. - 4:00 p.m.. Drive through only.,132,-118.1114449,34.5755204
Food Resources,Various,San Gabriel Mission Food Pantry,https://www.sangabrielmissionchurch.org/,428 South Mission Dr.,"428 South Mission Dr., San Gabriel, 91776",San Gabriel,91776,(626) 457-3035,Grab N Go hot meal program every Sun: 7:00 a.m. - 9:00 a.m.,133,-118.1074142,34.0971693
Food Resources,S,Harbor Interfaith Services,https://www.harborinterfaith.org/,670 W. 9th Street,"670 W. 9th Street, San Pedro, 90731",San Pedro,90731,(310) 831-9123,Mon-Fri: 9:00 a.m. - 5:00 p.m.. Must provide picture ID for the first time.,134,-118.29163,33.736303
Food Resources,S,San Pedro Service Center,https://wdacs.lacounty.gov/center/san-pedro/,769 W. 3rd Street,"769 W. 3rd Street, San Pedro, 90731",San Pedro,90731,(310) 519-6091,Mon-Fri: 8:30 a.m.. By appointment only.,135,-118.2938035,33.7412554
Food Resources,S,Santa Clarita Valley Food Pantry,https://www.scvfoodpantry.org/,24133 Railroad Avenue,"24133 Railroad Avenue, Newhall, 91321",Newhall,91321,(661) 255-9078,"Mon: 11:00 a.m. - 2:00 p.m.. Tues: 9:00 a.m. - 2:00 p.m.. Wed: 2:00 p.m. - 5:00 p.m.. Thurs: 9:00 a.m. - 2:00 p.m.. Sat: 9:00 a.m. - 12:00 p.m.. Must provide proof of income, address, and photo ID. (2 clients at a time only.)",136,-118.5252746,34.3764829
Food Resources,S,St. Margaret's Center,N/A,10217 Inglewood Ave,"10217 Inglewood Ave, Lennox, 90304",Lennox,90304,(310) 672-2208,Wed. by appointment only. Serving South Bay area only.,137,-118.3618318,33.9430344
Food Resources,Various,Regional Foodbank,N/A,1441 Santa Anita Ave.,"1441 Santa Anita Ave., South El Monte, 91733",South El Monte,91733,(626) 575-5431,"Distribution every Wed. & Fri., by appointment only.",138,-118.04555,34.0451558
Food Resources,S,First United Methodist Church,https://firstumctorrance.org/,1551 El Prado Avenue,"1551 El Prado Avenue, Torrance, 90501",Torrance,90501,(310) 328-3242,"Food box distribution every 4th Saturday of the month, 11:00 a.m. - 1:00 p.m..",140,-118.32049,33.8320907
Food Resources,Various,A Community of Friends,https://www.acof.org/,3701 Wilshire Blvd # 700,"3701 Wilshire Blvd , Los Angeles, 90010",Los Angeles,90010,(213) 480-0809,Call for more information.,141,-118.306969,34.062393
Food Resources,Various,No Kid Hungry Campaign,https://www.nokidhungry.org/,177 E. Colorado Blvd 3rd Floor,"177 E. Colorado Blvd 3rd Floor, Pasadena, 91105",Pasadena,91105,texting hotline (FOOD/COMIDA to 877-877),Provides information about emergency food distribution sites in communities where schools have been closed.,156,-118.1471029,34.1461677
Food Resources,W,Catholic Charities,https://catholiccharitiesla.org/,211 3rd Avenue,"211 3rd Avenue, Los Angeles, 90291",Los Angeles,90291,(310) 392-8701,Lunch distribution Sat: 9:00 a.m. - 2:00 p.m.,158,-118.4775687,33.9981686
Food Resources,W,Estrella Del Mar De Los Angeles - Regis House Community Center,N/A,2212 Beverly Blvd,"2212 Beverly Blvd, Los Angeles, 90057",Los Angeles,90057,(213) 380-8168,"2nd and 4th Thursday of the month 10:00 a.m. - 11:00 a.m.. Bring your own bags, must provide valid ID.",159,-118.271985,34.0670916
Food Resources,W,Figueroa Church Of Christ,http://www.figueroacoc.com/,455 W. 57th St.,"455 W. 57th St., Los Angeles, 90037",Los Angeles,90037,(323) 753-2536,Tuesdays: 7:30 am - 11:00 am.,160,-118.2821727,33.9909181
Food Resources,W,Florence Firestone Community Center,N/A,503 Olympic Blvd,"503 Olympic Blvd, Santa Monica, 90401",Santa Monica,90401,(310) 450-4050,Tues & Wed & Fri: 9:00 a.m. - 3:00 p.m.. By appointment only.,161,-118.489118,34.0134704
Food Resources,W,Hollywood First Southern Baptist Church,N/A,1528 N Wilton Pl.,"1528 N Wilton Pl., Los Angeles, 90028",Los Angeles,90028,(323) 466-9631,"Mon. - Fri,: 9:30 am - 5:30 pm.",162,-118.3132449,34.0991321
Food Resources,W,Hurting and Hungry,N/A,8107 Loyola Blvd,"8107 Loyola Blvd, Los Angeles, 90045",Los Angeles,90045,(213) 268-4820,"Only delivering food, do not give address. Fri: 10:00 a.m. - 2:00 p.m.. Must schedule appointment.",163,-118.4170177,33.9643646
Food Resources,W,Jewish Family SVCS,https://www.jfsla.org/,3580 Wilshire Blvd. Ste.700,"3580 Wilshire Blvd. Ste.700, Los Angeles, 90004",Los Angeles,90004,(323) 761-8800,"Mon., Wed., and Thurs.: 10:00 am - 1:30 pm.",164,-118.3028158,34.0611215
Food Resources,W,Safe Place for Youth Access Center,http://www.safeplaceforyouth.org/,2469 Lincoln Blvd,"2469 Lincoln Blvd, Venice, 90291",Venice,90291,(213) 290-4598,"For at-risk youth ages from 12 - 25. On Tues, Wed, & Thur: 11:00 a.m.- 3:00 p.m., food will be packaged to-go and we'll be providing basic survival needs and information about available resources. Case Managers will continue to be available via email and phone.",166,-118.4508001,33.9926759
Food Resources,W,Salvation Army - Santa Monica,https://santamonica.salvationarmy.org/,1533 4th St,"1533 4th St, Santa Monica, 90401",Santa Monica,90401,(310) 451-1358,"Meals, clothing, and employment assistance. Food pantry days and hours: Mon., Wed., & Fri : 9:00 am. - 4:00 pm. No ID is required at this time.",167,-118.4924799,34.0144964
Food Resources,W,Southside Christian Palace Miracle Center,https://christianpalace.org/,11243 S Vermont,"11243 S Vermont, Los Angeles, 90044",Los Angeles,90044,(562) 694-3152,Food and Toys for Holiday's Christmas and Easter.,168,-118.2922485,33.9317931
Food Resources,W,SOVA West,https://www.jfsla.org/SOVA,8846 W Pico Blvd.,"8846 W Pico Blvd., Los Angeles, 90035",Los Angeles,90035,(310) 288-0286,Mon. - Thurs.: 10:00 am - 1:30 p m and Sat.: 9:00 am - 12:00 pm. Bring ID and birth certificates for children.,169,-118.3848624,34.0546985
Food Resources,W,St. Anne’s Church and Social Services,https://www.foodpantries.org/li/ca-st_annes_social_service_food_pantry,2013 Colorado Avenue,"2013 Colorado Avenue, Santa Monica, 90232",Santa Monica,90232,(310) 829-4411,Mon - Thu 10 AM-7 PM; Fri 10 AM - 5 PM; Sat 9 AM - 3 PM; Sun 9 AM - 2 PM. Must call prior to coming.,170,-118.4766046,34.0267295
Food Resources,W,St. Augustine’s SAVES- Saint Augustine’s Volunteer,https://st-augustine-church.org/SAVES,3820 Jasmine Avenue,"3820 Jasmine Avenue, Culver City, 90232",Culver City,90232,(310) 838-2702,Temporarily suspending all new food pantry registration. Grab and Go lunch only for Culver City residents.,171,-118.4007884,34.0212852
Food Resources,W,St. Gerard's Catholic Church,https://stgerardla.com/,4439 Inglewood Blvd,"4439 Inglewood Blvd, Los Angeles, 90066",Los Angeles,90066,(310) 390-5034,"Tues & Thurs: 9:00 a.m. - 3:00 p.m.. Must bring picture ID, proof of address, and proof of income (local residents only).",172,-118.4190942,33.995315
Food Resources,W,The Bible Tabernacle,http://thebibletabernacle.com/,1761 Washington Way,"1761 Washington Way, Venice, 90291",Venice,90291,(310) 821-6116,Mon & Wed & Fri: 9:30 a.m. until supplies last.,173,-118.4627229,33.9880088
Food Resources,W,Vision of Hope Outreach Ministry,N/A,5951 S. San Pedro Ave.,"5951 S. San Pedro Ave., Los Angeles, 90003",Los Angeles,90003,(323) 233-4647,Call for more information.,174,-118.2697372,33.9859487
Food Resources,W,West Angeles Community Development Corp.,http://www.westangelescdc.org/,6028 Crenshaw Blvd.,"6028 Crenshaw Blvd., Los Angeles, 90043",Los Angeles,90043,(323) 751-3440,Temporarily suspending food pantry due to COVID-19.,175,-118.3302596,33.9841786
Food Resources,W,West Hollywood Comprehensive Service Center,https://www.jfsla.org/whcsc,7377 Santa Monica Blvd,"7377 Santa Monica Blvd, West Hollywood, 90046",West Hollywood,90046,(323) 851-8202,Free meals and delivery service for seniors and disabled West Hollywood residents.,176,-118.350834,34.0914637
Food Resources,W,Westside Infant-Family Network,https://winla.org/,"3701 Stocker St., Suite 204","3701 Stocker St., Suite 204, Los Angeles, 90008",Los Angeles,90008,(213) 290-6113,"Resource/ linkage support for items such as food, diapers, baby wipes, baby items, clothing, home supplies, learning toys.",177,-118.3378621,34.0071158
Food Resources,W,WSFB - Ocean Park Community Center,N/A,503 Olympic Blvd,"503 Olympic Blvd, Santa Monica, 90401",Santa Monica,90401,(310) 450-4050,Tues: 1:00 p.m. - 2:00 p.m.. Must be a client of OPCC. No new clients at this time.,178,-118.489118,34.0134704
Food Resources,W,WSFB – St. Joseph’s Center,https://stjosephctr.org/,204 Hampton Drive,"204 Hampton Drive, Venice, 90291",Venice,90291,(310) 396-6468,Food pantry days and hours: Mondays: 10:00 am - 12:00 pm; Tues & Fri: 12:00 pm - 3:00 pm. No ID is required at this time.,179,-118.4778653,33.9978341
Food Resources,W,WSFB- Ocean Park Community Center,N/A,503 Olympic Blvd.,"503 Olympic Blvd., Santa Monica, 90401",Santa Monica,90401,(310) 450-4050,Food pantry day is Tuesdays: 1:00 pm - 2:30 pm. Please note that this is a one time food distribution per family. Bring ID.,180,-118.489118,34.0134704
Food Resources,Various,Catholic Rainbow Outreach,N/A,1419 Carmenita Rd,"1419 Carmenita Rd, Whittier, 90605",Whittier,90605,(562) 944-2283,"Food pantry days and hours: Mon, Tues, Wed, & Fri: 10:30 am - 1:00 pm. Every other Saturday: 11:30 am - 1:00 pm. Please bring a valid ID.",181,-118.0464256,33.9329243
Food Resources,S,Beacon Light Mission,N/A,525 Broad Street,"525 Broad Street, Wilmington, 90744",Wilmington,90744,(310) 830-7063,Dinner served 7 days a week from 6:00 p.m. - 6:45 p.m..,182,-118.2612048,33.7765041
Financial,Various,Orange County Department of Child Support Services,http://www.css.ocgov.com/,1055 N Main St,"1055 N Main St, Santa Ana, 92701",Santa Ana,92701,(714) 610-5850,Assistance with child support services.,183,-117.8671316,33.7540153
Financial,Various,Torres Martinez Tribal TANF,http://dpss.lacounty.gov/wps/portal/dpss/main/programs-and-services/calworks/tribal-tanf/,460 West Palmdale Blvd,"460 West Palmdale Blvd, Palmdale, 93551",Palmdale,93551,(661) 466-1100,"Provide temporary assistance to Needy Native American families in Los Angeles County and Riverside County. Similar to Cal-works services but, we focus on helping Native families.",192,-118.1381433,34.5820757
FamilySource,C,El Centro del Pueblo,https://hcidla2.lacity.org/family-source-centers,"1157 Lemoyne St., Los Angeles","1157 Lemoyne St., Los Angeles, Echo Park / Cypress Park, 90026",Echo Park / Cypress Park,90026,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",203,-118.2597284,34.0773008
FamilySource,C,Volunteers of America Los Angeles,https://hcidla2.lacity.org/family-source-centers,"3600 Wilshire Blvd. Ste. 1500, Los Angeles","3600 Wilshire Blvd. Ste. 1500, Los Angeles, Hollywood, 90010",Hollywood,90010,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",204,-118.3036379,34.0605163
FamilySource,C,All People's Community Center,https://hcidla2.lacity.org/family-source-centers,"822 E. 20th St., Los Angeles","822 E. 20th St., Los Angeles, Southeast, 90011",Southeast,90011,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",205,-118.256591,34.0257438
FamilySource,C,Central City Neighborhood Partners,https://hcidla2.lacity.org/family-source-centers,"501 S. Bixel St., Los Angeles","501 S. Bixel St., Los Angeles, Westlake / Pico-Union, 90017",Westlake / Pico-Union,90017,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",206,-118.2618214,34.0548809
FamilySource,C,P.F. Bresee Foundation,https://hcidla2.lacity.org/family-source-centers,"184 S. Bimini Pl., Los Angeles","184 S. Bimini Pl., Los Angeles, Wilshire, 90004",Wilshire,90004,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",207,-118.2901637,34.0705552
FamilySource,E,El Centro de Ayuda,https://hcidla2.lacity.org/family-source-centers,"2130 E. 1st St. #110, Los Angeles","2130 E. 1st St. , Boyle Heights, 90033",Boyle Heights,90033,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",208,-118.2129594,34.0441775
FamilySource,E,Barrio Action Youth & Family Center,https://hcidla2.lacity.org/family-source-centers,"4927 Huntington Dr. N #200, Los Angeles","4927 Huntington Dr. N , El Sereno / Lincoln Heights, 90032",El Sereno / Lincoln Heights,90032,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",209,-118.1764009,34.0874596
FamilySource,NE,El Nido Family Center,https://hcidla2.lacity.org/family-source-centers,"11243 Genoaks Blvd., Ste. 2, Pacoima","11243 Genoaks Blvd., Ste. 2, Pacoima, Pacoima, 91331",Pacoima,91331,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",210,-118.4129786,34.2739431
FamilySource,NE,New Economics for Women,https://hcidla2.lacity.org/family-source-centers,"6946 Van Nuys Blvd., Ste. 220, Van Nuys","6946 Van Nuys Blvd., Ste. 220, Van Nuys, Van Nuys, 91405",Van Nuys,91405,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",211,-118.4481519,34.1970429
FamilySource,NW,New Economics for Women,https://hcidla2.lacity.org/family-source-centers,"2144 Saticoy St., 2nd Floor, Canoga Park","2144 Saticoy St., 2nd Floor, Canoga Park, North Valley, 91304",North Valley,91304,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",212,-118.6056824,34.2082917
FamilySource,S,Watts labor Community Action Committee,https://hcidla2.lacity.org/family-source-centers,"1212 E. 108th St., Los Angeles","1212 E. 108th St., Los Angeles, Southeast / Watts, 90059",Southeast / Watts,90059,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",213,-118.2538957,33.9374565
FamilySource,S,Toberman Neighborhood Center,https://hcidla2.lacity.org/family-source-centers,"131 N. Grand Ave., San Pedro","131 N. Grand Ave., San Pedro, Wilmington / San Pedro, 90731",Wilmington / San Pedro,90731,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",214,-118.2903464,33.7438133
FamilySource,W,El Nido Family Centers,https://hcidla2.lacity.org/family-source-centers,"2069 W. Slauson, Los Angeles","2069 W. Slauson, Los Angeles, Southwest, 90047",Southwest,90047,NA,"Drop in community center that offer a myriad of branded soical, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",215,-118.3156015,33.9894017
FamilySource,W,"The Children's Collective, Inc.",https://hcidla2.lacity.org/family-source-centers,"915 W. Manchester, Los Angeles","915 W. Manchester, Los Angeles, Southwest / Florence, 90044",Southwest / Florence,90044,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",216,-118.2902832,33.9602749
FamilySource,W,1736 Family Crisis Center,https://hcidla2.lacity.org/family-source-centers,"2116 Arlington Ave., Ste. 200, Los Angeles","2116 Arlington Ave., Ste. 200, Los Angeles, West Adams, 90028",West Adams,90028,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",217,-118.3168452,34.0373769
FamilySource,W,Latino Resource Organization,https://hcidla2.lacity.org/family-source-centers,"1645 Corinth Ave., Ste 112, Los Angeles","1645 Corinth Ave., Ste 112, Los Angeles, West Los Angeles, 90025",West Los Angeles,90025,NA,"Drop in community center that offers a myriad of branded social, educational, work and family support services designed to assist low income families to become more self-sufficient by increasing family income and academic achievement for youth and adults.",218,-118.4493949,34.0450572
